keys,zh_CN
"[[Hello|Hi|Howdy]], nice to meet you!","[[你好|嗨|你好]]，很高兴见到你！"
"Welcome to your new farm.","欢迎来到你的新农场。"
"As you can see the cows and chickens are hungry.","如你所见，牛和鸡都饿了。"
"You need to grow some crops to feed them.","你需要种些庄稼来喂它们。"
"Here are some seed to grow some crops.","这是一些种子，可以种庄稼。"
"Take Crop Seeds","接受种子"
"Yeah I can grow crops","是的，我可以种庄稼"
"No, I don't want them","不，我不想要"
"I'm not ready to grow my farm yet.","我还没准备好经营农场。"
"Go and plant! Your field is waiting for you.","快去种植吧！你的田地在等着你。"
